seed,fold,model,rmse,mae,r2,converged,warnings
20250912,4,mixed_hinge18,0.032821970614720454,0.02681898097717591,0.01408934626768299,True,
20250912,4,ridge,0.03291506356885127,0.027067900734594075,0.008488738306453247,True,
20250912,4,random_forest,0.032453404483208874,0.025428886432812856,0.03610710230836933,True,
20250913,0,mixed_linear,0.035649033318225824,0.0289115163917033,-0.00764915829784929,True,
20250913,0,mixed_hinge18,0.03583658465013197,0.02896546565948,-0.018279633028901898,True,
20250913,0,ridge,0.03448572357199814,0.0276692291386172,0.057041637478275176,True,
20250913,0,random_forest,0.03276560666730491,0.02550997398919919,0.14876345967740512,True,
20250913,1,mixed_linear,0.03321978579109891,0.027550079930298812,-0.05623152275550103,True,
20250913,1,mixed_hinge18,0.03333558370345877,0.027564330239810933,-0.06360800494246677,True,
20250913,1,ridge,0.03088551009273061,0.02520961666926978,0.08699106853771921,True,
20250913,1,random_forest,0.030237668998465098,0.024189994595436116,0.12489112846011952,True,
20250913,2,mixed_linear,0.03413139824159948,0.027633817129898458,-0.01454789137229029,True,
20250913,2,mixed_hinge18,0.034124987199010734,0.027668673700970838,-0.01416679366113982,True,
20250913,2,ridge,0.03320784102325268,0.027302989098275176,0.03961432217398109,True,
20250913,2,random_forest,0.03267964585943222,0.026754448477178543,0.06992263460703174,True,
20250913,3,mixed_linear,0.02897556600836641,0.022622588668079154,-0.011050721122755292,True,
20250913,3,mixed_hinge18,0.028918295571987003,0.022672117171770548,-0.0070579713140579425,True,
20250913,3,ridge,0.028770818030646215,0.022702779244860517,0.0031874268650492477,True,
20250913,3,random_forest,0.02927210029152495,0.0221009264326241,-0.03185068244657452,True,
20250913,4,mixed_linear,0.03648294863324088,0.029867347471885144,-0.08561427946109568,True,
20250913,4,mixed_hinge18,0.036637681620969254,0.029867295626958376,-0.09484251181983416,True,
20250913,4,ridge,0.03501131483854153,0.02901937657588287,0.0002013974554391229,True,
20250913,4,random_forest,0.031754990202351,0.025561950004533672,0.17753078778402143,True,
20250914,0,mixed_linear,0.0286568768375715,0.023565858468924054,-0.07263511691747149,True,
20250914,0,mixed_hinge18,0.028775956326836414,0.023599055654084575,-0.08156799693370642,True,
20250914,0,ridge,0.02906700171460553,0.023424755133376024,-0.1035569986177256,True,
20250914,0,random_forest,0.025912297269300055,0.020523353918965984,0.12298679703150384,True,
20250914,1,mixed_linear,0.031661092028408756,0.02694805152594477,-0.0330585267315211,True,
20250914,1,mixed_hinge18,0.03215966900548723,0.0271243955935077,-0.06585048443927133,True,
20250914,1,ridge,0.030432461405020914,0.025703865843236116,0.04556291368588694,True,
20250914,1,random_forest,0.028511094541163882,0.02347369636694853,0.16227605962476443,True,
20250914,2,mixed_linear,0.03667086566100372,0.02901400986330381,-0.018412515106207783,True,
20250914,2,mixed_hinge18,0.03657997232074933,0.029078382475775228,-0.013370245487902999,True,
20250914,2,ridge,0.035196237819809816,0.027241662831144348,0.06184652735724927,True,
20250914,2,random_forest,0.033683830711888255,0.025494244603944706,0.14074047429967995,True,
20250914,3,mixed_linear,0.034253429485141956,0.028598410226026362,-0.13318484960761823,True,
