target,variant,seed,scope,mode,precision_w,recall_w,specificity_w,f1_w,accuracy_w,precision_raw,recall_raw,n,positive,predicted_positive,coverage_w,retest_rate_w,qc_fail_rate_w,negative_clear_rate_w,positive_call_rate_w,positive_precision_w,positive_recall_all_w,negative_npv_w,false_negative_clear_rate_w,followup_recall_w,followup_precision_w,negative_specific_clear_w,retest_records,negative_records,positive_call_records
ANY,group_class_weighted,20360827,qc_pass,high,0.3874538745387453,0.0779625779625779,0.9847946359872496,0.1298059092594881,0.8852087410306586,0.2222222222222222,0.037037037037037,489.0,54.0,9.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,20360827,overall,three_way,,,,,,,,,,,0.8055933484504916,0.1944066515495087,0.1831821617535903,0.7845535039412592,0.0210398445092322,0.4041570438799077,0.0741106719367589,0.8914702542751953,0.7420948616600792,0.257905138339921,0.1373512091216639,0.7900565964090555,123.0,472.0,10.0
T13,unweighted,20460830,overall_qcfail_negative,low,0.3157894736842105,0.081081081081081,0.9923076923076924,0.1290322580645161,0.9540816326530612,0.3333333333333333,0.0869565217391304,605.0,23.0,6.0,,,,,,,,,,,,,,,
T13,unweighted,20460830,overall_qcfail_negative,high,0.1874999999999999,0.0405405405405405,0.9923076923076924,0.0666666666666666,0.9523809523809524,0.2,0.0434782608695652,605.0,23.0,5.0,,,,,,,,,,,,,,,
T13,unweighted,20460830,qc_pass,low,0.25,0.1048951048951049,0.9893792777908896,0.1477832512315271,0.9605022831050228,0.3333333333333333,0.125,496.0,16.0,6.0,,,,,,,,,,,,,,,
T13,unweighted,20460830,qc_pass,high,0.1428571428571428,0.0524475524475524,0.9893792777908896,0.0767263427109974,0.9587899543378994,0.2,0.0625,496.0,16.0,5.0,,,,,,,,,,,,,,,
T13,unweighted,20460830,overall,three_way,,,,,,,,,,,0.8271838894287876,0.1728161105712126,0.1711154302991038,0.8181135946442071,0.0090702947845805,0.1874999999999999,0.0405405405405405,0.966600893546535,0.6513513513513512,0.3486486486486486,0.0804120039181928,0.8254156100309947,110.0,490.0,5.0
T18,unweighted,20460830,overall_qcfail_negative,low,0.1521739130434782,0.0216763005780346,0.9897180821147356,0.0379472352728586,0.913767411726595,0.1428571428571428,0.0217391304347826,605.0,46.0,7.0,,,,,,,,,,,,,,,
T18,unweighted,20460830,overall_qcfail_negative,high,0.25,0.0216763005780346,0.9944635826771652,0.0398936170212766,0.9181405895691608,0.25,0.0217391304347826,605.0,46.0,4.0,,,,,,,,,,,,,,,
T18,unweighted,20460830,qc_pass,low,0.1381578947368421,0.0219941348973606,0.9884165104516676,0.0379472352728586,0.9131767775603388,0.1428571428571428,0.025,505.0,40.0,7.0,,,,,,,,,,,,,,,
