target,variant,seed,outer_fold,best_c,candidate_objectives,outer_train_records,outer_test_records,outer_train_women,outer_test_women,outer_train_qc_pass,outer_test_qc_pass
T21,unweighted,20460830,2,1.0,"{""0.03"": 0.1615900675224565, ""0.1"": 0.17192284441033637, ""0.3"": 0.18158486939797186, ""1.0"": 0.18305093710290762, ""3.0"": 0.18180585060782614, ""10.0"": 0.17828895417089227}",454,151,110,37,380,128
T21,unweighted,20460830,3,10.0,"{""0.03"": 0.18462304224467196, ""0.1"": 0.20344982856412042, ""0.3"": 0.2097556148726807, ""1.0"": 0.21315176400770613, ""3.0"": 0.21715565909492185, ""10.0"": 0.2224877507507625}",455,150,110,37,379,131
T13,group_class_weighted,20460830,0,10.0,"{""0.03"": 0.27663967001218115, ""0.1"": 0.2873612347579721, ""0.3"": 0.28858756184413215, ""1.0"": 0.292829910241878, ""3.0"": 0.299237452089792, ""10.0"": 0.3022280057903106}",453,152,112,35,374,118
T13,group_class_weighted,20460830,1,0.3,"{""0.03"": 0.3100748830205216, ""0.1"": 0.33926973683694994, ""0.3"": 0.3433620732662853, ""1.0"": 0.33404574641338225, ""3.0"": 0.30730362526855515, ""10.0"": 0.29795968537445927}",456,149,109,38,378,118
T13,group_class_weighted,20460830,2,0.03,"{""0.03"": 0.2521166007749107, ""0.1"": 0.2514261570422175, ""0.3"": 0.2505539529932588, ""1.0"": 0.23329634346594466, ""3.0"": 0.2315558027763878, ""10.0"": 0.20105936806152094}",455,150,110,37,382,134
T13,group_class_weighted,20460830,3,0.3,"{""0.03"": 0.22356038858935168, ""0.1"": 0.2285184301363406, ""0.3"": 0.23370723029565144, ""1.0"": 0.23125537287727366, ""3.0"": 0.21166976515946961, ""10.0"": 0.21506179742952586}",451,154,110,37,378,126
T18,group_class_weighted,20460830,0,0.03,"{""0.03"": 0.3538267766204134, ""0.1"": 0.3441815017127651, ""0.3"": 0.34194838019959595, ""1.0"": 0.34223688319729373, ""3.0"": 0.3398076431083742, ""10.0"": 0.3400280007266525}",452,153,111,36,375,118
T18,group_class_weighted,20460830,1,0.3,"{""0.03"": 0.28004623434469705, ""0.1"": 0.28701458560082316, ""0.3"": 0.2878268204244014, ""1.0"": 0.28599036569143277, ""3.0"": 0.2825862217145315, ""10.0"": 0.2801790554021986}",453,152,111,36,379,137
T18,group_class_weighted,20460830,2,1.0,"{""0.03"": 0.2028176239810503, ""0.1"": 0.2050752434949314, ""0.3"": 0.20524478384116776, ""1.0"": 0.20563389939234603, ""3.0"": 0.2052297156999035, ""10.0"": 0.20250012844592633}",454,151,107,40,378,130
T18,group_class_weighted,20460830,3,10.0,"{""0.03"": 0.28837738228264553, ""0.1"": 0.29448746796521474, ""0.3"": 0.3003920595037193, ""1.0"": 0.30169110722392395, ""3.0"": 0.30241235871595873, ""10.0"": 0.3040223796322661}",456,149,112,35,381,120
T21,group_class_weighted,20460830,0,10.0,"{""0.03"": 0.1828785785384756, ""0.1"": 0.18386475982190412, ""0.3"": 0.1841120665988699, ""1.0"": 0.18382360643010182, ""3.0"": 0.18444570138464894, ""10.0"": 0.1855628225207837}",454,151,111,36,377,117
T21,group_class_weighted,20460830,1,10.0,"{""0.03"": 0.08841816856319146, ""0.1"": 0.08898377391153749, ""0.3"": 0.09080727437524666, ""1.0"": 0.09360390687030411, ""3.0"": 0.09614446640522968, ""10.0"": 0.10200826154485858}",452,153,110,37,379,123
