target,variant,seed,scope,pr_auc_w,roc_auc_w
T13,unweighted,21960875,qc_pass,0.10294073919080525,0.4289576955968269
T18,unweighted,21960875,overall,0.13833717648291075,0.5172388274668346
T18,unweighted,21960875,qc_pass,0.10883365587907465,0.48760505699858997
T21,unweighted,21960875,overall,0.01842853145242964,0.34575824135306565
T21,unweighted,21960875,qc_pass,0.019856910281666737,0.3889133033436016
ANY,unweighted,21960875,overall,0.17753219576252935,0.5285962237305343
ANY,unweighted,21960875,qc_pass,0.1866570072290743,0.541685656073961
T13,group_class_weighted,21960875,overall,0.10328988482093461,0.48955561140176623
T13,group_class_weighted,21960875,qc_pass,0.09719288467403434,0.5443972477840775
T18,group_class_weighted,21960875,overall,0.1111781539145969,0.5353552660595899
T18,group_class_weighted,21960875,qc_pass,0.08941356818120527,0.5308289180338054
T21,group_class_weighted,21960875,overall,0.01697969113906092,0.29913905941780683
T21,group_class_weighted,21960875,qc_pass,0.01737804861601387,0.31593888285881044
ANY,group_class_weighted,21960875,overall,0.17490645905103913,0.5185667313278908
ANY,group_class_weighted,21960875,qc_pass,0.20386519677303738,0.520970151965279
T13,unweighted,22060878,overall,0.12545515172677257,0.41538587953972744
T13,unweighted,22060878,qc_pass,0.08887806804607967,0.4140555019765606
T18,unweighted,22060878,overall,0.14834063097590625,0.5242161153040492
T18,unweighted,22060878,qc_pass,0.11969766593169309,0.4875917321916597
T21,unweighted,22060878,overall,0.02874832716715897,0.5227792394542033
T21,unweighted,22060878,qc_pass,0.026151008815373848,0.5059168283926323
ANY,unweighted,22060878,overall,0.14859455558545107,0.49569062376578693
ANY,unweighted,22060878,qc_pass,0.14318211846880288,0.4883021569351419
T13,group_class_weighted,22060878,overall,0.09648695164087007,0.46214636783867663
T13,group_class_weighted,22060878,qc_pass,0.09345460013245974,0.47287115331648083
T18,group_class_weighted,22060878,overall,0.14946695068048954,0.5881259824232603
T18,group_class_weighted,22060878,qc_pass,0.11205021103977816,0.5576354468085528
T21,group_class_weighted,22060878,overall,0.1928455878596768,0.5704443759695144
T21,group_class_weighted,22060878,qc_pass,0.023978956523816618,0.46101450544438033
ANY,group_class_weighted,22060878,overall,0.1761999634540804,0.5527585952373244
ANY,group_class_weighted,22060878,qc_pass,0.1398102232582043,0.531792971521109
T13,unweighted,22160881,overall,0.11904952069710976,0.38161624515470766
T13,unweighted,22160881,qc_pass,0.08117593269747342,0.38125787338829686
T18,unweighted,22160881,overall,0.12582167563600327,0.5120900541785611
T18,unweighted,22160881,qc_pass,0.08573173413354004,0.5029320347151988
T21,unweighted,22160881,overall,0.02293215559573631,0.41051774949236475
T21,unweighted,22160881,qc_pass,0.03920350097310282,0.5029480959510104
ANY,unweighted,22160881,overall,0.21885424006826754,0.5299121678615403
ANY,unweighted,22160881,qc_pass,0.19652727980450585,0.541233142847305
T13,group_class_weighted,22160881,overall,0.11759174827337818,0.41117319686550613
T13,group_class_weighted,22160881,qc_pass,0.08301151939616407,0.4261084372239565
T18,group_class_weighted,22160881,overall,0.12364960751956189,0.535591017163318
T18,group_class_weighted,22160881,qc_pass,0.08665607065647189,0.5261178434454035
T21,group_class_weighted,22160881,overall,0.03264566224220666,0.4660468368532097
T21,group_class_weighted,22160881,qc_pass,0.020633439564388324,0.45339667030628994
ANY,group_class_weighted,22160881,overall,0.2123890363707376,0.5583043787296399
ANY,group_class_weighted,22160881,qc_pass,0.1935080132004331,0.5363369733139178
