target,track,feature_set,model,roc_auc_w,pr_auc_w,precision_w,recall_w,specificity_w,npv_w,f1_w,balanced_accuracy_w,mcc_w,accuracy_w,brier_w,logloss_w,precision_raw,recall_raw,f1_raw,accuracy_raw,predicted_positive,n,positive,seed,mean_threshold,sd_threshold,mean_inner_f1
ANY,record,engineered,elastic,0.7665095177638055,0.42692134038266005,0.32695844060316354,0.5019762845849806,0.8660714285714279,0.9306385655866621,0.3959910913140317,0.6840238565782042,0.3079090596979939,0.8242954324586979,0.16204671571846624,0.5318239122331938,0.3076923076923077,0.47761194029850745,0.3742690058479532,0.8231404958677686,104,605,67,20530070,0.634753807073803,0.10654368760446291,0.41443263582637774
ANY,record,engineered,elastic,0.7561055728988286,0.4100317432713806,0.332969114219115,0.6452569169960477,0.8324612119437933,0.9476589186036821,0.4392658081875848,0.7388590644699204,0.3661435494012896,0.8109815354713314,0.16778137645443442,0.5455790832602266,0.3203125,0.6119402985074627,0.4205128205128205,0.8132231404958677,128,605,67,20537989,0.5822563748146198,0.061176878734583294,0.4069836087404502
ANY,record,engineered,elastic,0.7753569191559215,0.4233782887409917,0.3369382146972793,0.5365612648221347,0.8631440281030439,0.9349372758080814,0.4139395589436434,0.6998526464625892,0.32965144102767263,0.8256721736313574,0.1580998066863062,0.5240595357776588,0.3148148148148148,0.5074626865671642,0.38857142857142857,0.8231404958677686,108,605,67,20545908,0.6078255442442498,0.027545035444966837,0.4364023043504871
ANY,record,engineered,elastic,0.7299431847108702,0.3720351389775321,0.3143069629078744,0.4772727272727275,0.8650468384074935,0.9273679461781374,0.37901462922481965,0.6711597828401105,0.28762831904061625,0.8205539358600584,0.16640026340574418,0.5577737431290845,0.3,0.44776119402985076,0.3592814371257485,0.8231404958677686,100,605,67,20553827,0.6510228899245596,0.12777500155571064,0.4406490516148972
ANY,record,engineered,elastic,0.7647298455805894,0.38069428966860713,0.3324090121317165,0.5415019762845853,0.8590456674473061,0.9352988047808761,0.4119415807560144,0.7002738218659456,0.3274595169985865,0.8226109491415614,0.160072884961732,0.5290258130349218,0.3177570093457944,0.5074626865671642,0.39080459770114945,0.824793388429752,107,605,67,20561746,0.6129244302989039,0.07640847686134876,0.42935750087679775
ANY,record,engineered,elastic,0.7567725665356861,0.39655106661053346,0.3571745496494816,0.5681818181818186,0.8674619437939105,0.9393909373699746,0.4386203890372153,0.7178218809878644,0.35943970904356093,0.8331227729186913,0.15982372141854556,0.5390328451508662,0.3302752293577982,0.5373134328358209,0.4090909090909091,0.828099173553719,109,605,67,20569665,0.635857954830388,0.13496459630214572,0.4057570720653568
ANY,record,engineered,elastic,0.7481572672138093,0.43403890976917703,0.4078319006685774,0.48221343873517813,0.9092505854800932,0.9312645228993325,0.4419146183699874,0.6957320121076356,0.36434056947710336,0.8602526724975704,0.16053850897538943,0.5025605906094797,0.4125,0.4925373134328358,0.4489795918367347,0.8661157024793389,80,605,67,20577584,0.6558634175989555,0.08277943943093005,0.4166820263138476
ANY,record,engineered,elastic,0.7424981807401736,0.3801617367274178,0.3873144399460191,0.364624505928854,0.9252415105386413,0.9182691434693392,0.3756271358976226,0.6449330082337476,0.2976210611204676,0.8609167476514418,0.15894768151523633,0.49487614142787956,0.3787878787878788,0.373134328358209,0.37593984962406013,0.8628099173553719,66,605,67,20585503,0.6919666718587552,0.08960597356339546,0.4309855012391915
ANY,record,engineered,elastic,0.7353686564793904,0.37243334059872624,0.41351911561492466,0.5069169960474311,0.906817183840749,0.9341639022919175,0.45547945205479506,0.7068670899440899,0.37927344789048245,0.860932944606414,0.16521953105770534,0.5509577524147645,0.3950617283950617,0.47761194029850745,0.43243243243243246,0.8611570247933884,81,605,67,20593422,0.672885571803461,0.03799078390192995,0.41387136226453325
ANY,record,engineered,elastic,0.7616950540624143,0.3842069344095582,0.3596474779673736,0.5415019762845853,0.8750365925058542,0.9364059991385045,0.4322253521126766,0.7082692843952196,0.3511661880635942,0.8367670877874961,0.15884388946481634,0.5394597905766204,0.34,0.5074626865671642,0.40718562874251496,0.8363636363636363,100,605,67,20601341,0.6098885406065896,0.06508064100073735,0.4021777467083171
ANY,record,engineered,elastic,0.7636385186890802,0.42638803971472033,0.33757009345794475,0.6373517786561268,0.8378951990632313,0.9468830766049826,0.44137054596998954,0.7376234888596789,0.3676758210368152,0.8148850016196957,0.15575845669650482,0.5134045265571168,0.3228346456692913,0.6119402985074627,0.422680412371134,0.8148760330578513,127,605,67,20609260,0.5464437919336423,0.05821425322066698,0.41415000461960166
ANY,record,engineered,elastic,0.7669804474043719,0.42969793371465714,0.46210268948655303,0.5069169960474311,0.9235216627634656,0.9352776593970608,0.4834735779198927,0.7152193294054482,0.4135793326694023,0.8757207644962747,0.1568953175540821,0.5120708007767101,0.4444444444444444,0.47761194029850745,0.460431654676259,0.8760330578512396,72,605,67,20617179,0.6806652417530648,0.1048588461286349,0.41861318575871387
ANY,record,engineered,elastic,0.7174273966596781,0.3866692478084054,0.27417296554432163,0.3942687747035575,0.8647175058548005,0.9167652706922969,0.3234323432343238,0.6294931402791789,0.2223744221336951,0.8107385811467445,0.1686508909272367,0.5181003880592466,0.2727272727272727,0.40298507462686567,0.3253012048192771,0.8148760330578513,99,605,67,20625098,0.6384305716441023,0.09963295990359296,0.3887297738168962
