target,seed,precision_w_challenger,recall_w_challenger,f1_w_challenger,pr_auc_w_challenger,roc_auc_w_challenger,specificity_w_challenger,accuracy_w_challenger,precision_w_incumbent,recall_w_incumbent,f1_w_incumbent,pr_auc_w_incumbent,roc_auc_w_incumbent,specificity_w_incumbent,accuracy_w_incumbent,delta_precision_w,delta_recall_w,delta_f1_w,delta_pr_auc_w,delta_roc_auc_w,delta_specificity_w,delta_accuracy_w
ANY,20435042,0.3285683806272678,0.6521739130434786,0.43698273823599043,0.4368665075071422,0.7877702638594477,0.8272650761124116,0.8071752510528022,0.3163874606070667,0.538537549407115,0.3985999373106266,0.3948877311649329,0.7548752643917025,0.8491839871194373,0.813540654356981,0.012180920020201103,0.11363636363636365,0.038382800925363836,0.041978776342209256,0.03289499946774521,-0.0219189110070257,-0.006365403304178785
ANY,20442961,0.31207987346777455,0.44565217391304374,0.36709302325581455,0.41248168656585127,0.747689808799095,0.8726763758782194,0.8236799481697441,0.2965593974666218,0.489130434782609,0.3692455242966759,0.3609554721903893,0.7149645558913647,0.849623097189695,0.8082604470359573,0.01552047600115275,-0.043478260869565244,-0.002152501040861343,0.051526214375461954,0.03272525290773032,0.02305327868852447,0.015419501133786762
ANY,20450880,0.3498778785764139,0.5662055335968382,0.4324994608583142,0.45615348553989854,0.7863853291146369,0.8636380269320837,0.8295108519598317,0.3686783042394021,0.5217391304347829,0.4320533052779244,0.3830367807169096,0.7478619418268834,0.8842030152224819,0.8426141885325561,-0.01880042566298823,0.0444664031620553,0.0004461555803897954,0.07311670482298893,0.03852338728775351,-0.020564988290398212,-0.013103336572724444
ANY,20458799,0.36627906976744257,0.5691699604743087,0.4457218660181302,0.5090053685377419,0.8005703850823684,0.8723653395784537,0.8375769355361193,0.3372657876474677,0.4802371541501979,0.3962494904198946,0.4199651910054215,0.7553843534109039,0.8776895491803274,0.8320861678004536,0.029013282119974892,0.08893280632411077,0.049472375598235585,0.08904017753232041,0.04518603167146451,-0.005324209601873631,0.0054907677356657025
ANY,20466718,0.3823938761308287,0.46541501976284616,0.4198395517636577,0.44071753243050854,0.781838656024274,0.902572453161592,0.8524133462908974,0.3174326952605186,0.4377470355731228,0.3680056963151966,0.4008106242464602,0.7393359180948833,0.8780005854800931,0.8274862325882736,0.06496118087031011,0.027667984189723382,0.05183385544846114,0.03990690818404835,0.042502737929390744,0.024571867681498882,0.024927113702623793
ANY,20474637,0.37405655630472046,0.5247035573122533,0.43675459726220606,0.3683392645740885,0.7621703769731992,0.8861973067915684,0.8447197926789763,0.2901554404145083,0.4505928853754943,0.3529997235277859,0.303752112458876,0.7134527526628162,0.857124560889929,0.810479429867185,0.08390111589021215,0.07411067193675897,0.08375487373442014,0.06458715211521249,0.04871762431038307,0.02907274590163933,0.034240362811791325
ANY,20482556,0.40477839335180055,0.33003952569169975,0.36360808709175746,0.3786629170355961,0.7851133900030239,0.9370974824355968,0.8674441205053451,0.3877551020408165,0.4130434782608698,0.4000000000000002,0.361577053298304,0.7658360216049098,0.9154713114754092,0.8578231292517009,0.017023291310984068,-0.08300395256917004,-0.03639191290824273,0.01708586373729215,0.019277368398114114,0.021626170960187596,0.00962099125364424
ANY,20490475,0.4499806376661937,0.4920948616600793,0.4700964196615201,0.49924699414144086,0.7855528134478378,0.9220396662763461,0.8727081308713962,0.3911476066493096,0.5513833992094864,0.4576449912126543,0.3898815964409325,0.7516469821644562,0.8887587822014046,0.8500485908649176,0.058833031016884085,-0.059288537549407105,0.01245142844886582,0.10936539770050835,0.03390583128338154,0.033280884074941564,0.02265954000647863
ANY,20498394,0.39803300926972696,0.4970355731225299,0.44205900816070354,0.45082860105995565,0.7690368052148615,0.9025724531615921,0.8560414642047297,0.4012580109185857,0.4772727272727275,0.4359767891682789,0.4407666309668794,0.7311931213127871,0.907695403981264,0.8583090379008749,-0.0032250016488587496,0.01976284584980237,0.006082218992424615,0.010061970093076245,0.037843683902074376,-0.005122950819671956,-0.0022675736961451642
ANY,20506313,0.5042327227951362,0.46245059288537566,0.482438701126574,0.5384897814993741,0.8267286391367603,0.9410677693208427,0.8861516034985425,0.44222141384746,0.514822134387352,0.4757680516600355,0.4707954251013887,0.7825163104224717,0.9158372365339574,0.8698250728862976,0.0620113089476762,-0.05237154150197637,0.006670649466538503,0.06769435639798538,0.044212328714288596,0.02523053278688525,0.01632653061224487
